"Date","Distro","Count"
2013-01-01,"Linux Motor",132000
2013-01-01,"Linux openSUSE",30000
2013-01-01,"Linux Oracle",180000
2013-01-01,"Linux PCLinuxOS",212000
2013-01-01,"Linux Red Hat",3.9e+07
2013-01-01,"Linux Slackware",57000
2013-01-01,"Linux SUSE",1.98e+08
2013-01-01,"Linux Ubuntu",1.159e+09
2013-01-01,"Linux Xubuntu",30000
2012-12-01,"Linux Arch",287000
2012-12-01,"Linux CentOS",3.8e+07
2012-12-01,"Linux Debian",1.06e+08
2012-12-01,"Linux Epiphany",2.2e+07
2012-12-01,"Linux Fedora",2.31e+08
2012-12-01,"Linux Gentoo",1.2e+07
2012-12-01,"Linux Kubuntu",2e+06
2012-12-01,"Linux Mandriva",8.4e+07
2012-12-01,"Linux Mint",1.17e+08
2012-12-01,"Linux Mips",2.1e+07
2012-12-01,"Linux Motor",197000
2012-12-01,"Linux openSUSE",30000
2012-12-01,"Linux Oracle",295000
2012-12-01,"Linux PCLinuxOS",296000
2012-12-01,"Linux Red Hat",3.4e+07
2012-12-01,"Linux Slackware",92000
2012-12-01,"Linux SUSE",2.08e+08
2012-12-01,"Linux Ubuntu",1.262e+09
2012-12-01,"Linux Xubuntu",30000
2012-11-01,"Linux Arch",252000
2012-11-01,"Linux CentOS",4.9e+07
2012-11-01,"Linux Debian",1.52e+08
2012-11-01,"Linux Epiphany",2.4e+07
2012-11-01,"Linux Fedora",3.04e+08
2012-11-01,"Linux Gentoo",1.3e+07
2012-11-01,"Linux Kubuntu",3.5e+07
2012-11-01,"Linux Mandriva",1.27e+08
2012-11-01,"Linux Mint",1.16e+08
2012-11-01,"Linux Mips",1.6e+07
2012-11-01,"Linux Motor",188000
2012-11-01,"Linux openSUSE",30000
2012-11-01,"Linux Oracle",714000
2012-11-01,"Linux PCLinuxOS",282000
2012-11-01,"Linux Red Hat",4.4e+07
2012-11-01,"Linux Slackware",79000
2012-11-01,"Linux SUSE",2.4e+07
2012-11-01,"Linux Ubuntu",1.314e+09
2012-11-01,"Linux Xubuntu",30000
2012-10-01,"Linux Arch",236000
2012-10-01,"Linux CentOS",5.3e+07
2012-10-01,"Linux Debian",1.36e+08
2012-10-01,"Linux Epiphany",2.7e+07
2012-10-01,"Linux Fedora",2.63e+08
2012-10-01,"Linux Gentoo",1.3e+07
2012-10-01,"Linux Kubuntu",4.1e+07
2012-10-01,"Linux Mandriva",1.11e+08
2012-10-01,"Linux Mint",1.1e+07
2012-10-01,"Linux Mips",1.2e+07
2012-10-01,"Linux Motor",209000
2012-10-01,"Linux openSUSE",30000
2012-10-01,"Linux Oracle",311000
2012-10-01,"Linux PCLinuxOS",278000
2012-10-01,"Linux Red Hat",4.3e+07
2012-10-01,"Linux Slackware",91000
2012-10-01,"Linux SUSE",2.27e+08
2012-10-01,"Linux Ubuntu",1.189e+09
2012-10-01,"Linux Xubuntu",30000
2012-09-01,"Linux Arch",239000
2012-09-01,"Linux CentOS",4.9e+07
2012-09-01,"Linux Debian",1.26e+08
2012-09-01,"Linux Epiphany",2.9e+07
2012-09-01,"Linux Fedora",3.67e+08
2012-09-01,"Linux Gentoo",1.6e+07
2012-09-01,"Linux Kubuntu",4.5e+07
2012-09-01,"Linux Mandriva",1.06e+08
2012-09-01,"Linux Mint",1.12e+08
2012-09-01,"Linux Mips",1.3e+07
2012-09-01,"Linux Motor",213000
2012-09-01,"Linux openSUSE",30000
2012-09-01,"Linux Oracle",254000
2012-09-01,"Linux PCLinuxOS",305000
2012-09-01,"Linux Red Hat",4.3e+07
2012-09-01,"Linux Slackware",183000
2012-09-01,"Linux SUSE",2.22e+08
2012-09-01,"Linux Ubuntu",1.1e+09
2012-09-01,"Linux Xubuntu",30000
2012-08-01,"Linux Arch",236000
2012-08-01,"Linux CentOS",5.2e+07
2012-08-01,"Linux Debian",1.61e+08
2012-08-01,"Linux Epiphany",3.4e+07
2012-08-01,"Linux Fedora",3e+07
2012-08-01,"Linux Gentoo",1.8e+07
2012-08-01,"Linux Kubuntu",5.1e+07
2012-08-01,"Linux Mandriva",9.5e+07
2012-08-01,"Linux Mint",1.13e+08
2012-08-01,"Linux Mips",1.3e+07
2012-08-01,"Linux Motor",226000
2012-08-01,"Linux openSUSE",30000
2012-08-01,"Linux Oracle",297000
2012-08-01,"Linux PCLinuxOS",320000
2012-08-01,"Linux Red Hat",4.2e+07
2012-08-01,"Linux Slackware",77000
2012-08-01,"Linux SUSE",2.18e+08
2012-08-01,"Linux Ubuntu",9.59e+08
2012-08-01,"Linux Xubuntu",30000
2012-07-01,"Linux Arch",321000
2012-07-01,"Linux CentOS",6.3e+07
2012-07-01,"Linux Debian",1.14e+08
2012-07-01,"Linux Epiphany",3.2e+07
2012-07-01,"Linux Fedora",2.57e+08
2012-07-01,"Linux Gentoo",1.9e+07
2012-07-01,"Linux Kubuntu",3.5e+07
2012-07-01,"Linux Mandriva",8.2e+07
2012-07-01,"Linux Mint",1.1e+07
2012-07-01,"Linux Mips",1.2e+07
2012-07-01,"Linux Motor",257000
2012-07-01,"Linux openSUSE",30000
2012-07-01,"Linux Oracle",288000
2012-07-01,"Linux PCLinuxOS",278000
2012-07-01,"Linux Red Hat",4.2e+07
2012-07-01,"Linux Slackware",54000
2012-07-01,"Linux SUSE",2.11e+08
2012-07-01,"Linux Ubuntu",8.75e+08
2012-07-01,"Linux Xubuntu",30000
2012-06-01,"Linux Arch",294000
2012-06-01,"Linux CentOS",7e+06
2012-06-01,"Linux Debian",1.56e+08
2012-06-01,"Linux Epiphany",3.9e+07
2012-06-01,"Linux Fedora",2.86e+08
2012-06-01,"Linux Gentoo",2.3e+07
2012-06-01,"Linux Kubuntu",5.3e+07
2012-06-01,"Linux Mandriva",1.03e+08
2012-06-01,"Linux Mint",1.25e+08
2012-06-01,"Linux Mips",1.3e+07
2012-06-01,"Linux Motor",263000
2012-06-01,"Linux openSUSE",30000
2012-06-01,"Linux Oracle",216000
2012-06-01,"Linux PCLinuxOS",354000
2012-06-01,"Linux Red Hat",4.8e+07
2012-06-01,"Linux Slackware",57000
2012-06-01,"Linux SUSE",2.55e+08
2012-06-01,"Linux Ubuntu",9.9e+08
2012-06-01,"Linux Xubuntu",30000
2012-05-01,"Linux Arch",383000
2012-05-01,"Linux CentOS",7.6e+07
2012-05-01,"Linux Debian",1.8e+07
2012-05-01,"Linux Epiphany",4.1e+07
2012-05-01,"Linux Fedora",3.03e+08
2012-05-01,"Linux Gentoo",2.6e+07
2012-05-01,"Linux Kubuntu",6.5e+07
2012-05-01,"Linux Mandriva",1.15e+08
2012-05-01,"Linux Mint",1.26e+08
2012-05-01,"Linux Mips",1.3e+07
2012-05-01,"Linux Motor",377000
2012-05-01,"Linux openSUSE",30000
2012-05-01,"Linux Oracle",207000
2012-05-01,"Linux PCLinuxOS",404000
2012-05-01,"Linux Red Hat",5.9e+07
2012-05-01,"Linux Slackware",68000
2012-05-01,"Linux SUSE",2.85e+08
2012-05-01,"Linux Ubuntu",1.088e+09
2012-05-01,"Linux Xubuntu",30000
2012-04-01,"Linux Arch",454000
2012-04-01,"Linux CentOS",7.8e+07
2012-04-01,"Linux Debian",1.65e+08
2012-04-01,"Linux Epiphany",4.3e+07
2012-04-01,"Linux Fedora",3.57e+08
2012-04-01,"Linux Gentoo",2.7e+07
2012-04-01,"Linux Kubuntu",7.5e+07
2012-04-01,"Linux Mandriva",1.23e+08
2012-04-01,"Linux Mint",1.3e+07
2012-04-01,"Linux Mips",1.4e+07
2012-04-01,"Linux Motor",355000
2012-04-01,"Linux openSUSE",30000
2012-04-01,"Linux Oracle",204000
2012-04-01,"Linux PCLinuxOS",448000
2012-04-01,"Linux Red Hat",7.2e+07
2012-04-01,"Linux Slackware",129000
2012-04-01,"Linux SUSE",2.79e+08
2012-04-01,"Linux Ubuntu",1.066e+09
2012-04-01,"Linux Xubuntu",30000
2012-03-01,"Linux Arch",370000
2012-03-01,"Linux CentOS",9.9e+07
2012-03-01,"Linux Debian",1.78e+08
2012-03-01,"Linux Epiphany",4.7e+07
2012-03-01,"Linux Fedora",4.91e+08
2012-03-01,"Linux Gentoo",3.2e+07
2012-03-01,"Linux Kubuntu",8.9e+07
2012-03-01,"Linux Mandriva",1.33e+08
2012-03-01,"Linux Mint",1.47e+08
2012-03-01,"Linux Mips",1.4e+07
2012-03-01,"Linux Motor",412000
2012-03-01,"Linux openSUSE",30000
2012-03-01,"Linux Oracle",234000
2012-03-01,"Linux PCLinuxOS",472000
2012-03-01,"Linux Red Hat",1.23e+08
2012-03-01,"Linux Slackware",59000
2012-03-01,"Linux SUSE",3.08e+08
