"package","D.Obs","P0","P1"
"genisoimage",-0.197478138763338,0.635,0.015
"gettext",0.177955780972695,0.4525,0.0125
"gettext.base",0.401759832644331,0.4325,0.23
"gexec",-2.0371207104808,0.7875,0.09
"gftp.common",1.77305408734926,0.0325,0.85
"gftp.gtk",1.81495282978553,0.02,0.86
"ghostscript",0.53977690803629,0.3075,0.185
"giblib",0.719359845682383,0.255,0.3225
"gir",0.267375431241,0.4525,0.1125
"gksu",0.475908225379745,0.2725,0.1025
"glib.networking",-0.0579850671354715,0.6,0.055
"glib.networking.common",0.28567005130498,0.4125,0.07
"glib.networking.services",0.278291662625184,0.425,0.075
"gnome.icon.theme",0.761872647411811,0.1825,0.27
"gnome.icon.theme.symbolic",0.960376284652192,0.105,0.425
"gnome.mime.data",-0.07870781952887,0.5975,0.005
"gnome.mplayer",0.772476313130695,0.2275,0.33
"gnome.ppp",-0.290719059241349,0.62,0.14
"gnu.fdisk",-0.00928557448279955,0.53,0.2925
"gnupg",-4.48952639373569,0.98,0
"gnupg.agent",1.52405458046346,0.005,0.945
"gnupg.curl",1.40927766514064,0.0825,0.6875
"gnustep.base.common",1.40387395935408,0.14,0.625
"gnustep.base.runtime",1.24708145457915,0.1425,0.5975
"gnustep.common",1.2400446625658,0.1275,0.64
"gparted",1.15203701993763,0.03,0.675
"gpgv",-3.00708002709899,0.9675,0.0025
"gpm",-0.420276996867525,0.75,0.0125
"grep",-3.14957342509182,0.9675,0
"groff.base",-1.44046697067513,0.88,0.0175
"group.management.antix",-2.50733648137111,0.7525,0.0825
"growisofs",0.711677307258588,0.145,0.18
"grsync",-0.274420655027086,0.575,0.1525
"grub.common",0.352206581649761,0.385,0.0725
"grub.customizer",0.144728639704101,0.5,0.1925
"grub.pc",-0.492541034310486,0.76,0
"grub.pc.bin",0.175948030322637,0.4575,0.025
"gsettings.desktop.schemas",0.00669612542544382,0.54,0.075
"gsfonts",0.535828307483385,0.305,0.165
"gsfonts.x",0.971642086202986,0.1,0.4325
"gstreamer",-0.171616733728978,0.6425,0.085
"gtkam",1.21075836513509,0.23,0.5675
"gtkdialog",0.234787520090445,0.4575,0.2375
"gtk.engines",0.352824169509689,0.365,0.05
"gtk.engines.murrine",-0.461505334620277,0.745,0
"gtk.engines.pixbuf",0.698762577228147,0.1875,0.225
"gufw",-0.157702659200181,0.5925,0.07
"guvcview",1.13486661488231,0.115,0.56
"gweled",0.48197075327576,0.4,0.335
"gzip",-3.35061259196575,0.97,0
"hardinfo",1.24205202834701,0.0275,0.69
"hdparm",0.580145388694554,0.3125,0.2125
"herbstluftwm",-3.90692496237749,0.805,0.11
"hexchat",0.713995938184386,0.295,0.37
"hexchat.common",0.690981554713831,0.325,0.355
"hicolor.icon.theme",-0.372140858656312,0.6875,0.04
"hostname",-2.42479354724535,0.96,0
"hplip",1.40593099510532,0.0025,0.92
"hplip.data",1.4115070771186,0.005,0.895
"htmltext",-1.30110220992364,0.905,0
"htop",0.259834504392087,0.445,0.0575
"hwinfo",-0.232211496413508,0.67,0.0075
"icedax",-0.150966523487131,0.61,0.045
"iceweasel",-0.575916617482682,0.785,0.0075
"icewm",0.286825125592735,0.4425,0.38
"icewmcc.antix",-3.58694217057071,0.8075,0.0875
"icewm.common",-0.317223129019716,0.5975,0.16
"icewm.themes.antix",-3.47640352627518,0.8175,0.0875
"ifplugd",-0.923801498866284,0.6575,0.135
"ifupdown",-2.50497162901604,0.96,0
"init",0.985985042735591,0.0975,0.465
"initramfs.tools",-3.0643299650167,0.9525,0.0025
"initscripts",-2.43543871775723,0.9625,0.005
"init.system.helpers",0.47263710373294,0.28,0.095
"insserv",-1.90689166428591,0.9125,0.005
"install.meta.antix",-2.47580900486319,0.79,0.07
"intltool.debian",0.381556424311273,0.35,0.045
"inxi.gui.antix",-2.62364730454231,0.7975,0.095
"iproute",-3.77075002038242,0.9825,0
"iptables",-1.4561268369825,0.9075,0
"iputils.ping",-1.68910105020527,0.9225,0.0125
"irqbalance",-0.751907912917728,0.82,0
"irssi",-0.0764241914278719,0.6175,0.0925
"irssi.plugin.otr",-2.35010353730446,0.7775,0.1075
"irssi.scripts",-2.47393275431723,0.81,0.09
"isc.dhcp.client",-1.55210714132793,0.86,0.0075
"isc.dhcp.common",-0.617117600209726,0.7825,0.0175
"iso.codes",-0.599634988498506,0.765,0.0075
"iso.snapshot",-2.41121251084329,0.7725,0.0825
"jfsutils",1.02346188283436,0.035,0.4775
"jwm",-2.82115109365893,0.81,0.1
"kbd",0.502620389254675,0.295,0.1875
"keyboard.cc.antix",-2.22629152233666,0.775,0.085
"keyboard.configuration",-1.10109295666042,0.87,0.01
