Distribution,HPD,Rank,Packages,Scope_width,Scope_special,Scope,Country,Parent,Parent_simple
Wifislax,142,97,1597,2,1,"Security, Live Medium",Spain,Slackware,Slackware
ExTiX,139,98,1436,2,0,"Desktop, Live Medium",Sweeden,Debian,Debian
Quirky,139,99,1613,3,1,"Desktop, Old Computers, Live Medium",Australia,Independent,Other
Semplice,137,100,1223,2,0,"Desktop, Live Medium",Italy,Debian,Debian
AUSTRUMI,123,101,483,3,1,"Data Rescue, Desktop, Live Medium",Latvia,Stackware,Slackware
Qubes,118,102,1060,2,1,"Desktop, Security",USA,Fedora,Red Hat
LinuxConsole,117,103,340,4,2,"Desktop, Gaming, Live Medium, Old Computers",France,Independent,Other
NetBSD,116,104,10395,3,2,"Desktop, Raspberry Pi, Server",USA,BSD Independent,BSD
Raspbian,116,105,1145,1,1,Raspberry Pi,USA,Debian,Debian
LFS,106,106,689,2,2,"Source-based, Education",Canada,Independent,Other
pfSense,104,107,NA,2,1,"Firewall, Live Medium",USA,"FreeBSD, m0n0wall",BSD
IPFire,103,108,465,1,1,Firewall,Germany,Independent,Other
Rockstor,103,109,551,1,1,Network Attached Storage,USA,"Fedora, CentOS",Red Hat
NuTyX,99,110,1355,1,0,Desktop,Switzerland,"LFS, CRUX",Other
ALT,97,111,37568,4,2,"Desktop, Education, Live Medium, Server",Russia,Independent,Other
FreeNAS,97,112,NA,1,1,Network Attached Storage,France,FreeBSD,BSD
MidnightBSD,93,113,1406,1,0,Desktop,USA,FreeBSD,BSD
MiniNo,92,114,1315,3,2,"Live Medium, Netbooks, Old Computers",Spain,Debian,Debian
SUSE,92,115,4330,2,1,"Desktop, Server",USA,openSUSE,openSUSE
CRUX,90,116,315,4,3,"Desktop, Raspberry Pi, Server, Source-based",Sweden,Independent,Other
FuguIta,90,117,107,1,0,Live Medium,Japan,OpenBSD,BSD
Pisi,89,118,830,1,0,Desktop,Turkey,Independent,Other
TurnKey,89,119,303,1,1,Server,USA,Debian,Debian
OpenIndiana,87,120,1014,3,1,"Desktop, Live Medium, UNIX",UK,Solaris,Solaris
Point,85,121,1681,2,0,"Desktop, Live Medium",Russia,Debian,Debian
Slackel,85,122,2155,2,0,"Desktop, Live Medium",Greece,Slackware,Slackware
SystemRescue,85,123,469,2,1,"Data Rescue, Live Medium",France,Gentoo,Gentoo
Parted Magic,84,124,NA,3,2,"Data Rescue, Disk Management, Live Medium",USA,Independent,Other
Ubuntu DP,81,125,2721,6,4,"Beginners, Live Medium,Desktop, Education, Gaming, Server",Ukraine,Debian,Debian
Connochaet,79,126,726,2,2,"Free Software, Old Computers",Germany,Slackware,Slackware
Porteus Kiosk,76,127,218,2,1,"Live Medium, Specialist",Ireland,Gentoo,Gentoo
2XOS,75,128,NA,1,1,Thin Client,Malta,Debian,Debian
ChaletOS,74,129,1874,3,1,"Beginners, Desktop, Live Medium",Serbia,Debian,Debian
Mythbuntu,73,130,1537,2,1,"Live Medium, MythTV",USA,Debian,Debian
CAINE,72,131,2656,2,1,"Forensics, Live Medium",Italy,Debian,Debian
ZevenOS,72,132,1779,2,0,"Desktop, Live Medium",Germany,Debian,Debian
Berry,71,133,602,1,0,Live Medium,Japan,Red Hat,Red Hat
Bridge,71,134,1085,2,0,"Desktop, Live Medium",USA,Arch,Arch
Proxmox,71,135,431,2,2,"Server, Specialist",Austria,Debian,Debian
Void,71,136,5587,3,1,"Desktop, Live Medium, Raspberry Pi",Spain,Independent,Other
KolibriOS,70,137,NA,4,2,"Desktop, Old Computers, Live Medium, Netbooks",Russia,Independent,Other
Untangle,70,138,1092,2,2,"Firewall, Server",USA,Debian,Debian
Kwort,69,139,374,1,0,Desktop,Argentina,Crux,Other
UberStudent,69,140,2571,4,2,"Beginners, Desktop, Education, Live Medium",USA,Debian,Debian
Legacy,68,141,134,3,1,"Desktop, Live Medium, Old Computers",Australia,Puppy,Puppy
Parabola,68,142,228,3,2,"Free Software, Desktop, Server",Chile,Arch,Arch
Chapeau,67,143,2023,2,0,"Desktop, Live Medium",UK,Fedora,Red Hat
NethServer,67,144,468,1,1,Server,Italy,CentOS,Red Hat
Funtoo,66,145,40065,3,2,"Desktop, Server, Source-based",USA,Gentoo,Gentoo
LinuxBBQ,66,146,1036,2,0,"Desktop, Live Medium",China,Debian,Debian
LPS,66,147,NA,3,2,"Live Medium, Privacy, Security",USA,Thinstation,Other
blackPanther,65,148,1303,2,0,"Desktop, Live Medium",Hungary,Mandriva,Mandriva
