package.name,ntaxa,mpd.obs,mpd.rand.mean,mpd.rand.sd,mpd.obs.rank,mpd.obs.z,mpd.obs.p,runs,host.specialist
node-tinycolor,1,NA,NA,NA,NA,NA,NA,999,NA
node-topcube,1,NA,NA,NA,NA,NA,NA,999,NA
node-transformers,1,NA,NA,NA,NA,NA,NA,999,NA
node-traverse,1,NA,NA,NA,NA,NA,NA,999,NA
node-tunnel-agent,2,5534,6318.2582582583,1853.440049044,234,-0.4231365663,0.234,999,0
node-type-is,1,NA,NA,NA,NA,NA,NA,999,NA
node-uglify,1,NA,NA,NA,NA,NA,NA,999,NA
node-underscore,1,NA,NA,NA,NA,NA,NA,999,NA
node-unorm,1,NA,NA,NA,NA,NA,NA,999,NA
node-utilities,1,NA,NA,NA,NA,NA,NA,999,NA
node-utils-merge,1,NA,NA,NA,NA,NA,NA,999,NA
node-validator,1,NA,NA,NA,NA,NA,NA,999,NA
node-vary,1,NA,NA,NA,NA,NA,NA,999,NA
node-vhost,1,NA,NA,NA,NA,NA,NA,999,NA
node-vows,1,NA,NA,NA,NA,NA,NA,999,NA
node-webfinger,1,NA,NA,NA,NA,NA,NA,999,NA
node-websocket-driver,1,NA,NA,NA,NA,NA,NA,999,NA
node-which,2,5534,6398.7427427427,1839.5625282865,213.5,-0.4700806466,0.2135,999,0
node-with,1,NA,NA,NA,NA,NA,NA,999,NA
node-wordwrap,1,NA,NA,NA,NA,NA,NA,999,NA
node-ws,1,NA,NA,NA,NA,NA,NA,999,NA
node-xmlhttprequest,1,NA,NA,NA,NA,NA,NA,999,NA
node-xmljs,1,NA,NA,NA,NA,NA,NA,999,NA
node-yajsml,1,NA,NA,NA,NA,NA,NA,999,NA
node-yamlish,1,NA,NA,NA,NA,NA,NA,999,NA
node-yauzl,1,NA,NA,NA,NA,NA,NA,999,NA
node-yazl,1,NA,NA,NA,NA,NA,NA,999,NA
node-ytdl-core,1,NA,NA,NA,NA,NA,NA,999,NA
node-zeparser,1,NA,NA,NA,NA,NA,NA,999,NA
node-zipfile,1,NA,NA,NA,NA,NA,NA,999,NA
nodm,1,NA,NA,NA,NA,NA,NA,999,NA
noizsa,1,NA,NA,NA,NA,NA,NA,999,NA
noizsa-data,1,NA,NA,NA,NA,NA,NA,999,NA
nomarch,1,NA,NA,NA,NA,NA,NA,999,NA
nomnom,1,NA,NA,NA,NA,NA,NA,999,NA
nopaste virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-acix-cache,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-acix-core,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-acix-index,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-arcproxyalt,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-arex,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-arex virtual,1,NA,NA,NA,NA,NA,NA,999,NA
