package.name,ntaxa,mpd.obs,mpd.rand.mean,mpd.rand.sd,mpd.obs.rank,mpd.obs.z,mpd.obs.p,runs,host.specialist
abcde,2,7066,6545.2982982983,1835.4618283565,649,0.283689747,0.649,999,0
acl,50,6148.5681632653,6431.175259341,110.7319655008,13,-2.5521726703,0.013,999,1
acpi,16,7144.9583333333,6453.7674341008,468.7345977193,938,1.4745890374,0.938,999,0
acpid,38,6186.2318634424,6429.0926673473,195.9244131583,124,-1.2395637684,0.124,999,0
acpi-support,32,6008.7862903226,6427.4738750848,248.6293051518,51,-1.6839832477,0.051,999,0
acpi-support-base,13,7033.7692307692,6436.3879520546,531.0889992229,879,1.1248232963,0.879,999,0
add-desktop-antix,1,NA,NA,NA,NA,NA,NA,999,NA
add-key-antix,1,NA,NA,NA,NA,NA,NA,999,NA
add-start-antix,1,NA,NA,NA,NA,NA,NA,999,NA
adduser,54,6242.9098532495,6434.6996283495,64.5966702518,4,-2.9690350037,0.004,999,1
advert-block-antix,1,NA,NA,NA,NA,NA,NA,999,NA
adwaita-icon-theme,24,5964.8695652174,6441.3134837736,333.4455395842,89,-1.4288507777,0.089,999,0
adwaita-themes,1,NA,NA,NA,NA,NA,NA,999,NA
alpine,3,6197.3333333333,6447.004337671,1350.5022303559,502.5,-0.1848727079,0.5025,999,0
alsa-base,43,6011.8959025471,6437.353654873,158.5598240225,8,-2.6832632727,0.008,999,1
alsamixer-equalizer-antix,1,NA,NA,NA,NA,NA,NA,999,NA
alsa-tools,6,6890.2666666667,6457.9915915916,820.056251043,697,0.5271285653,0.697,999,0
alsa-utils,50,6203.5893877551,6440.1734411963,104.9210646344,22,-2.2548765995,0.022,999,1
antix-archive-keyring,1,NA,NA,NA,NA,NA,NA,999,NA
antix-cc-full-antix,1,NA,NA,NA,NA,NA,NA,999,NA
antix-goodies,1,NA,NA,NA,NA,NA,NA,999,NA
antix-installer,1,NA,NA,NA,NA,NA,NA,999,NA
antix-libs,1,NA,NA,NA,NA,NA,NA,999,NA
apt,54,6242.9098532495,6432.2276259488,69.2370001607,7,-2.7343439528,0.007,999,1
apt-antix,1,NA,NA,NA,NA,NA,NA,999,NA
apt-show-versions,6,7402.7333333333,6434.0680680681,862.3559260357,851,1.1232777975,0.851,999,0
apt-utils,53,6225.4383164006,6431.7871093154,82.0954182012,17,-2.5135238657,0.017,999,1
arandr,7,6883.0476190476,6391.1056771057,818.8851027287,715,0.6007459903,0.715,999,0
asciidoc,2,7066,6401.7767767768,1854.9186363602,687,0.3580875248,0.687,999,0
ash,3,6740.6666666667,6449.5448782115,1349.3482627161,574.5,0.2157499265,0.5745,999,0
aspell,47,6204.8011100833,6440.069892279,135.4744122814,50,-1.7366289193,0.05,999,0
aspell-en,46,6206.2212560387,6431.6063348373,145.2312898958,70,-1.5519044068,0.07,999,0
asunder,3,6707.3333333333,6373.000333667,1324.885820946,604,0.2523485378,0.604,999,0
atmel-firmware,12,6414.9848484849,6429.857372524,554.2392960938,478,-0.0268341205,0.478,999,0
aufs-tools,7,6945.7142857143,6413.4682301349,796.1728438682,716,0.6685056639,0.716,999,0
avahi-daemon,40,6007.3871794872,6435.5525743692,185.8405829418,17,-2.303939151,0.017,999,1
avahi-utils,22,5602.4285714286,6439.0862594196,358.7139254062,14,-2.3323814013,0.014,999,1
base-files,53,6260.7184325109,6434.1317137166,76.0024107739,26,-2.2816813235,0.026,999,1
base-passwd,54,6242.9098532495,6432.7340121393,67.937897335,6,-2.7940835136,0.006,999,1
bash,54,6242.9098532495,6432.3440400568,66.2470221831,10,-2.8595124817,0.01,999,1
bash-completion,42,5937.1927990709,6423.1019509637,176.9839384477,10,-2.7454985811,0.01,999,1
bc,50,6311.3991836735,6434.9322073094,107.9670931235,134,-1.1441729147,0.134,999,0
b-fwcutter,18,6641.0784313726,6466.5570995832,397.2174898918,659,0.439359636,0.659,999,0
bind-host,49,6091.3384353742,6440.7663343616,111.5588996661,5,-3.1322279086,0.005,999,1
binutils,45,6263.9090909091,6437.296474252,146.6600607564,127,-1.1822399531,0.127,999,0
bittorrent,3,7682.6666666667,6477.5702369036,1350.3978286547,721,0.8924010423,0.721,999,0
bleachbit,6,5655.4666666667,6463.0956289623,864.653942398,216,-0.9340487826,0.216,999,0
bluetooth,12,6943.9545454546,6430.9041314041,562.8323932163,808,0.9115509701,0.808,999,0
bluez,45,6300.294949495,6432.658733481,149.7317932302,195,-0.884005869,0.195,999,0
bluez-firmware,10,6615.5777777778,6439.9339561784,630.9054356264,592,0.2783996011,0.592,999,0
bootchart-antix,1,NA,NA,NA,NA,NA,NA,999,NA
br,3,6197.3333333333,6405.7924591258,1372.5343377156,495,-0.1518789877,0.495,999,0
brit-icons,1,NA,NA,NA,NA,NA,NA,999,NA
bsdmainutils,52,6263.8280542986,6434.6854841267,89.9123767303,41,-1.9002659705,0.041,999,1
bsdutils,54,6242.9098532495,6435.6967232781,65.6598128263,6,-2.9361471154,0.006,999,1
btrfs-tools,33,5851.9128787879,6426.9860276944,246.9398443197,11,-2.3287985399,0.011,999,1
busybox,22,6209.1385281385,6424.2406302406,358.7852535993,272,-0.5995288266,0.272,999,0
bzip,53,6407.9550072569,6435.6378047133,78.9646631924,329,-0.350571969,0.329,999,0
ca-certificates,53,6255.2946298984,6433.4414036678,78.089817139,21,-2.281306069,0.021,999,1
calcurse,2,7066,6428.5895895896,1729.7462663708,697.5,0.3684993706,0.6975,999,0
caps,5,7311.2,6450.6184184184,987.8149020857,797.5,0.8711972048,0.7975,999,0
cclive,2,7066,6479.982982983,1842.8310626212,672,0.3179982305,0.672,999,0
cd-discid,2,7066,6464.993993994,1798.532653408,669,0.3341646341,0.669,999,0
cdparanoia,17,7357.3382352941,6444.5334599305,432.3487936487,988,2.1112693935,0.988,999,0
cdw,2,7066,6392.6766766767,1829.0512106633,682.5,0.3681271029,0.6825,999,0
ceni,2,7066,6318.6376376376,1802.7817179765,709.5,0.4145606509,0.7095,999,0
cifs-utils,35,6034.8974789916,6426.55414406,224.2564926331,51,-1.746467451,0.051,999,0
claws-mail,4,5393.6666666667,6411.8018018018,1114.3144003428,201,-0.9136874968,0.201,999,0
claws-mail-in,3,6197.3333333333,6447.5735735736,1324.5328603973,494.5,-0.1889271665,0.4945,999,0
claws-mail-pdf-viewer,2,7066,6687.0810810811,1817.56965791,615.5,0.2084755967,0.6155,999,0
claws-mail-pgpinline,2,7066,6416.3693693694,1858.2100365089,675,0.3496002163,0.675,999,0
claws-mail-pgpmime,2,7066,6493.7927927928,1841.463406387,660.5,0.3107350411,0.6605,999,0
claws-mail-tools,2,7066,6456.7747747748,1815.784082978,667.5,0.3355163375,0.6675,999,0
clearlooks-phenix-theme,4,7738,6423.5238571905,1134.3425702108,882,1.1587999757,0.882,999,0
cli-installer-antix,1,NA,NA,NA,NA,NA,NA,999,NA
clipit,5,6817,6464.8512512513,960.5165958993,593,0.3666243251,0.593,999,0
coinor-libcbc,8,6641.2857142857,6401.0618118118,720.1649461149,603,0.3335678913,0.603,999,0
coinor-libcgl,8,6641.2857142857,6416.6934791935,739.9652509723,592,0.303517273,0.592,999,0
coinor-libclp,8,6641.2857142857,6384.2961890462,740.5923740409,605,0.3470053625,0.605,999,0
coinor-libcoinmp,8,6641.2857142857,6457.927963678,738.1111408581,583,0.248414826,0.583,999,0
coinor-libcoinutils,8,6641.2857142857,6462.3362648363,701.8593125386,567,0.254964843,0.567,999,0
coinor-libosi,8,6641.2857142857,6490.9423351923,740.3574701299,559,0.2030686326,0.559,999,0
conky-std,4,5751.6666666667,6450.965965966,1110.7703826504,313,-0.6295624282,0.313,999,0
connectshares-antix,1,NA,NA,NA,NA,NA,NA,999,NA
console-common,15,6841.7714285714,6440.4594308594,467.9345265121,797,0.8576242508,0.797,999,0
console-data,20,6671.6157894737,6445.4004478162,387.6964918194,704,0.5834856555,0.704,999,0
consolekit,31,6848.1935483871,6419.8587060179,261.9808100307,956,1.6349855637,0.956,999,0
console-setup,48,6261.7367021277,6434.3609327413,126.0092714878,101,-1.3699327722,0.101,999,0
console-setup-linux,27,6470,6440.127620498,301.1118643855,525,0.0992069162,0.525,999,0
coreutils,54,6242.9098532495,6433.0099911232,67.186955225,11,-2.8294203426,0.011,999,1
cpio,54,6242.9098532495,6434.1875789136,65.5671937228,5,-2.9172779069,0.005,999,1
cpp,55,6441.6471380471,6433.1902744495,55.3809628765,418.5,0.152703441,0.4185,999,0
cpulimit,2,7066,6391.1811811812,1850.5381701669,678.5,0.3646608482,0.6785,999,0
cron,52,6280.2383107089,6428.5257036826,91.6392378382,61,-1.6181648437,0.061,999,0
cryptsetup,41,6103.8317073171,6431.0083839938,184.7141538041,54,-1.7712593753,0.054,999,0
cryptsetup-bin,41,6110.412195122,6432.3108059279,182.1214953263,50,-1.7674937834,0.05,999,0
cups,45,6378.3090909091,6435.792930304,143.9894610993,336,-0.399222547,0.336,999,0
cups-client,46,6362.8135265701,6434.3818049934,139.3109054082,286,-0.5137306244,0.286,999,0
cups-common,46,6362.8135265701,6429.4776651047,138.9701314611,293,-0.4797011979,0.293,999,0
cups-core-drivers,31,5940.6150537634,6446.4964276104,264.5589042228,38,-1.9121691456,0.038,999,1
cups-daemon,32,5880.6693548387,6443.6734274597,245.7476227739,15,-2.2909848171,0.015,999,1
cups-filters,40,6430.8192307692,6428.3769859603,188.9328635869,497,0.012926522,0.497,999,0
cups-filters-core-drivers,31,5940.6150537634,6436.3731473409,268.4031270321,35,-1.8470652673,0.035,999,1
cups-ppdc,43,6324.4119601329,6427.3592019484,157.826674493,240,-0.6522803711,0.24,999,0
cups-server-common,31,5940.6150537634,6434.6025294111,262.0241477602,37,-1.8852746202,0.037,999,1
dash,54,6242.9098532495,6432.3069722413,69.1815192842,10,-2.7376837189,0.01,999,1
dbus,53,6255.2946298984,6432.1552321552,79.8464037222,30,-2.2150102448,0.03,999,1
dbus-x,52,6333.8883861237,6434.1655063812,87.6764529859,138,-1.1437178038,0.138,999,0
dc,32,6200.9556451613,6432.7878967677,252.6110603002,168,-0.9177438681,0.168,999,0
dcdd,4,6471.3333333333,6485.1244577911,1116.7938288762,485,-0.0123488545,0.485,999,0
dcfldd,7,5887.5238095238,6417.4435387769,777.679366478,248,-0.6814115844,0.248,999,0
dconf-gsettings-backend,48,6201.2437943262,6438.5659569144,119.1941415308,38,-1.9910555967,0.038,999,1
dconf-service,47,6235.1526364477,6432.143983021,128.4636075677,71,-1.5334408733,0.071,999,0
dctrl-tools,8,6735.6428571429,6436.561954812,744.2054188615,630,0.4018795009,0.63,999,0
debconf,54,6242.9098532495,6431.2544927877,67.976420656,11,-2.7707348772,0.011,999,1
debconf-in,53,6261.9346879536,6433.2100503987,79.2653984028,29,-2.1607834679,0.029,999,1
debconf-utils,13,7275.0256410256,6467.7971047971,511.9402588653,955,1.5768022191,0.955,999,0
debian-archive-keyring,28,6499.380952381,6428.8767868398,303.6547621906,570,0.2321852785,0.57,999,0
debianutils,54,6242.9098532495,6433.4208548171,68.4204848656,8,-2.7844146668,0.008,999,1
deb-multimedia-keyring,3,6707.3333333333,6400.7687687688,1345.5505357646,573,0.2278357865,0.573,999,0
deborphan,11,7249.4181818182,6415.9117299117,596.6956871979,915,1.3968702469,0.915,999,0
desktop-defaults-base-antix,1,NA,NA,NA,NA,NA,NA,999,NA
desktop-defaults-core-antix,1,NA,NA,NA,NA,NA,NA,999,NA
desktop-defaults-fluxbox-antix,1,NA,NA,NA,NA,NA,NA,999,NA
desktop-defaults-full-antix,1,NA,NA,NA,NA,NA,NA,999,NA
desktop-defaults-hlwm-antix,1,NA,NA,NA,NA,NA,NA,999,NA
desktop-defaults-icewm-antix,1,NA,NA,NA,NA,NA,NA,999,NA
desktop-defaults-jwm-antix,1,NA,NA,NA,NA,NA,NA,999,NA
desktop-defaults-rox-antix,1,NA,NA,NA,NA,NA,NA,999,NA
desktop-defaults-spacefm-antix,1,NA,NA,NA,NA,NA,NA,999,NA
desktop-file-utils,47,6250.67160037,6430.6622922645,132.3491072649,95,-1.3599690668,0.095,999,0
desktop-session-antix,1,NA,NA,NA,NA,NA,NA,999,NA
dh-python,35,5826.3462184874,6443.3517181047,231.1780005882,9,-2.6689628686,0.009,999,1
dialog,33,6501.8522727273,6439.8827122577,248.7394515249,581,0.249134426,0.581,999,0
dictionaries-common,51,6232.4517647059,6431.8822367466,97.8697774449,35,-2.0377125324,0.035,999,1
diffutils,53,6187.1393323658,6432.4110235054,79.8852267784,4,-3.0703009934,0.004,999,1
dillo,2,7066,6424.6036036036,1802.0951347741,687.5,0.3559170568,0.6875,999,0
dkms,20,6215.3473684211,6407.5887202993,398.588012131,316,-0.4823059049,0.316,999,0
dmidecode,53,6194.7198838897,6436.2920118958,77.4261130552,5,-3.1200342943,0.005,999,1
dmsetup,54,6242.9098532495,6436.835994625,65.3888283651,11,-2.9657381272,0.011,999,1
dmz-cursor-theme,31,6185.023655914,6432.243731904,271.0627335669,196,-0.9120400755,0.196,999,0
docbook-xml,36,6476.8158730159,6429.0465799133,214.8657381028,545,0.2223215927,0.545,999,0
dosbox,5,7442.6,6469.2466466467,947.4229898571,833,1.0273693628,0.833,999,0
dosfstools,52,6268.2850678733,6433.7485645525,87.8302112546,41,-1.883901841,0.041,999,1
dpkg,54,6242.9098532495,6430.9671684263,71.7869048967,15,-2.6196604443,0.015,999,1
droopy-antix,1,NA,NA,NA,NA,NA,NA,999,NA
dvd+rw-tools,28,6585.6746031746,6449.6476900181,286.6125192787,663,0.4746021336,0.663,999,0
dzen,2,7066,6343.4424424424,1800.7608446653,705,0.4012512598,0.705,999,0
e,2,7066,6473.7887887888,1775.9193572799,675.5,0.3334674003,0.6755,999,0
efslibs,54,6242.9098532495,6435.9518757052,63.2397516719,4,-3.052542386,0.004,999,1
efsprogs,54,6242.9098532495,6433.7315750412,65.9887165217,7,-2.8917325848,0.007,999,1
eject,53,6260.7184325109,6435.4507904131,78.3165510472,26,-2.2311038416,0.026,999,1
elinks,4,7829.6666666667,6404.2565899233,1122.0936030484,909,1.2703129871,0.909,999,0
elinks-data,3,6707.3333333333,6483.955288622,1337.3027018476,562.5,0.1670362622,0.5625,999,0
emacsen-common,24,6090.0398550725,6435.6785662474,336.8405250706,146,-1.0261197375,0.146,999,0
esound-common,22,6788.2207792208,6426.5836442503,374.4285235816,829.5,0.965837569,0.8295,999,0
ethtool,28,6327.955026455,6434.4798687577,291.1742244222,363,-0.3658457149,0.363,999,0
extlinux,8,6481.5714285714,6436.3644358644,766.8341252425,502,0.0589527659,0.502,999,0
faenza-cupertino-mini-icons,1,NA,NA,NA,NA,NA,NA,999,NA
faq-docs-antix,1,NA,NA,NA,NA,NA,NA,999,NA
fbcat,4,6387.6666666667,6347.7303970637,1135.6364335545,517,0.0351664216,0.517,999,0
fbsplash-antix,1,NA,NA,NA,NA,NA,NA,999,NA
fbxkb,2,7066,6483.2032032032,1806.047232761,663,0.322691891,0.663,999,0
feh,10,6377.9111111111,6451.8278723168,619.1166685732,428,-0.1193906818,0.428,999,0
file,51,6285.3129411765,6434.0385876072,94.7118377207,69,-1.5702962799,0.069,999,0
file-roller,37,6236.996996997,6429.8716404092,213.8799909122,172,-0.9017890949,0.172,999,0
findutils,54,6242.9098532495,6433.424004018,69.71947065,12,-2.7325817163,0.012,999,1
firmware-adi,3,5888.6666666667,6409.5995995996,1307.7826120339,441,-0.3983329707,0.441,999,0
firmware-atheros,14,6127.3846153846,6407.5578435578,516.4143562163,298,-0.5425357076,0.298,999,0
firmware-b-installer,8,6213.4285714286,6430.8676891177,751.2741471905,378,-0.2894271266,0.378,999,0
firmware-bnx,15,6182.0380952381,6412.2815768149,475.8140457963,299,-0.4838938312,0.299,999,0
firmware-bnxx,12,5722.7878787879,6455.9471592805,559.4442542938,108,-1.3105135585,0.108,999,0
firmware-brcm,15,6113.2380952381,6433.120282187,474.0539627106,244,-0.6747801139,0.244,999,0
firmware-intelwimax,11,5966.7272727273,6445.11999272,615.1510066682,205,-0.7776833896,0.205,999,0
firmware-ipw,13,5834.8461538462,6421.0604707271,534.2741512456,143,-1.0972163177,0.143,999,0
firmware-iwlwifi,15,5931.8857142857,6428.7872443872,503.3689304626,175,-0.9871517689,0.175,999,0
firmware-libertas,12,5553.8181818182,6437.1670458337,575.3738631161,70,-1.5352606725,0.07,999,0
firmware-linux-free,19,6159.9766081871,6422.7533498411,417.4908293168,257,-0.6294191949,0.257,999,0
firmware-linux-nonfree,15,5931.8857142857,6436.0191048191,475.0488929899,148,-1.0612242192,0.148,999,0
firmware-myricom,11,5948.4363636364,6436.0481936482,584.1887149421,191,-0.8346820429,0.191,999,0
firmware-netxen,11,5948.4363636364,6437.0648102648,603.6585807912,222,-0.8094450442,0.222,999,0
firmware-qlogic,11,5948.4363636364,6475.6505960506,593.1806866537,185,-0.8887919723,0.185,999,0
firmware-ralink,10,5964.4,6455.7025692359,635.8431256261,221,-0.7726789037,0.221,999,0
firmware-realtek,15,5931.8857142857,6440.771361838,479.4379928844,159,-1.0614211955,0.159,999,0
firmware-zd,10,6413.5555555556,6459.5401401401,632.1993418981,451,-0.0727374762,0.451,999,0
flac,8,7375.3214285714,6443.622980123,716.9880121657,900,1.2994616823,0.9,999,0
flashplugin-nonfree,4,6471.3333333333,6401.0890890891,1114.1178842734,523.5,0.0630492026,0.5235,999,0
flashrom,4,7846.3333333333,6462.8610276944,1146.5571299496,893,1.2066318106,0.893,999,0
fluxbox,7,6822.6666666667,6465.9732113065,789.4381188019,664,0.4518320649,0.664,999,0
fluxbox-themes-antix,1,NA,NA,NA,NA,NA,NA,999,NA
fontconfig,53,6225.4383164006,6431.0264429887,81.2493918262,16,-2.5303343443,0.016,999,1
fontconfig-config,53,6225.4383164006,6437.8601925583,75.9748508571,5,-2.7959498934,0.005,999,1
fonts-dejavu,18,6313.7647058824,6405.5503739033,418.3929219545,389,-0.2193767227,0.389,999,0
fonts-dejavu-core,36,5826.0031746032,6435.6871093316,221.2432311073,4,-2.7557179114,0.004,999,1
fonts-dejavu-extra,23,5964.7509881423,6422.2659418312,362.7047909943,113,-1.2613976023,0.113,999,0
fonts-opensymbol,34,6380.5115864528,6432.1250555368,240.2865530245,402,-0.2147996566,0.402,999,0
fonts-vlgothic,6,7639.3333333333,6461.5289956623,858.0970382991,923,1.3725770922,0.923,999,0
fonts-wqy-microhei,9,5228.5555555556,6431.9081859637,678.0533230712,52,-1.7747168098,0.052,999,0
freeglut,12,7180.3181818182,6436.1227591228,567.5931339383,902,1.311142398,0.902,999,0
fuse,48,6256.4015957447,6429.3491967144,129.9609538065,108,-1.3307658639,0.108,999,0
fxload,6,5588.1333333333,6435.7026359693,850.3898437908,198,-0.9966832375,0.198,999,0
gawk,29,6712.5418719212,6424.4307706722,281.8931772072,844,1.0220577316,0.844,999,0
gcc,57,6433.9523809524,6433.9523809524,0,500.5,NA,0.5005,999,0
gcolor,2,7066,6357.7327327327,1845.5698903265,689,0.3837661586,0.689,999,0
gconf,52,6454.9653092006,6434.0267726248,89.4277174214,566,0.2341392264,0.566,999,0
gconf-common,50,6243.6212244898,6431.9309096852,109.7838341813,64,-1.715276995,0.064,999,0
gconf-service,46,6234.1400966184,6447.6073812943,139.1733609797,70,-1.5338228751,0.07,999,0
gdebi,24,6425.8152173913,6424.0040765403,339.579495233,493,0.0053334812,0.493,999,0
gdebi-core,27,6559.641025641,6431.4691785803,304.3936981683,657,0.4210726038,0.657,999,0
geany,11,7061.1272727273,6408.9843661844,585.6160698788,850,1.1136014534,0.85,999,0
geany-common,10,7025.8222222222,6446.4185296408,641.9548841119,796,0.9025613901,0.796,999,0
gecko-mediaplayer,4,8244.3333333333,6356.6182849516,1122.9628389831,966.5,1.6810129266,0.9665,999,0
genisoimage,43,6356.4673311185,6438.426410907,161.4363036903,287,-0.5076867961,0.287,999,0
gettext,36,6351.5380952381,6428.8703989704,222.7365391572,358,-0.347191817,0.358,999,0
gettext-base,51,6285.8650980392,6435.4926754205,97.2875327954,75,-1.5379933387,0.075,999,0
gexec,2,7066,6419.1331331331,1764.3628980926,689,0.3666291484,0.689,999,0
gftp-common,6,6990.5333333333,6405.7735735736,872.9616158681,736,0.6698573558,0.736,999,0
gftp-gtk,6,6990.5333333333,6459.2127460794,879.5706186883,693,0.6040681396,0.693,999,0
ghostscript,48,6304.2925531915,6433.2984509332,121.5648881585,144,-1.0612101874,0.144,999,0
giblib,10,6169.8666666667,6429.3064620176,641.4344797649,351,-0.4044681157,0.351,999,0
gir,49,6187.4523809524,6435.2694888766,112.2890328592,26,-2.2069573636,0.026,999,1
gksu,39,6446.7557354926,6432.5046639082,202.080249095,508,0.0705218429,0.508,999,0
glib-networking,47,6239.5652173913,6431.4488660724,127.898400708,79,-1.5002818457,0.079,999,0
glib-networking-common,46,6273.9140096618,6430.9038110574,135.4126310755,136,-1.1593438526,0.136,999,0
glib-networking-services,46,6273.9140096618,6432.7983365008,144.7102290488,149,-1.0979481401,0.149,999,0
gnome-icon-theme,46,6297.2985507246,6434.1086806613,140.146109368,154,-0.9761964178,0.154,999,0
gnome-icon-theme-symbolic,37,6095.6426426426,6422.7845593341,221.1633655233,82,-1.4791867356,0.082,999,0
gnome-mime-data,19,6562.3742690059,6435.1092730157,401.2634306547,611,0.3171607136,0.611,999,0
gnome-mplayer,9,7343.2222222222,6457.2292848404,649.7847411011,915,1.3635176103,0.915,999,0
gnome-ppp,4,7294.8333333333,6450.2255588922,1106.0403084637,736,0.7636320015,0.736,999,0
gnu-fdisk,2,7066,6450.1041041041,1811.9350928592,667.5,0.3399105731,0.6675,999,0
gnupg,55,6247.0491582492,6431.8550483143,54.0798179956,3,-3.417280178,0.003,999,1
gnupg-agent,23,6514.4584980237,6444.1474676257,351.0879187029,558,0.2002661631,0.558,999,0
gnupg-curl,7,7455.3333333333,6438.2164068831,788.7142138009,895,1.2895886858,0.895,999,0
gnustep-base-common,5,6665,6438.0672672673,983.3013867141,531,0.2307865481,0.531,999,0
gnustep-base-runtime,5,6665,6420.1015015015,989.1174174377,538,0.2475929492,0.538,999,0
gnustep-common,5,6665,6411.3481481482,944.8377259672,547,0.2684607577,0.547,999,0
gparted,33,6282.6704545455,6431.2948213365,237.071222092,267,-0.6269186343,0.267,999,0
gpgv,54,6242.9098532495,6432.8803156756,68.2413929617,12,-2.7838010653,0.012,999,1
gpm,10,7314.8222222222,6426.4406628851,632.3722107752,917,1.4048396565,0.917,999,0
grep,54,6242.9098532495,6435.1170352743,67.3546894642,7,-2.8536570141,0.007,999,1
groff-base,53,6244.4441219158,6435.1670727331,77.8093320759,18,-2.4511577947,0.018,999,1
group-management-antix,1,NA,NA,NA,NA,NA,NA,999,NA
growisofs,27,6547.9772079772,6449.4098314839,294.9224566528,611,0.3342145512,0.611,999,0
grsync,4,7710.5,6490.7729396063,1112.6963734379,865,1.09619038,0.865,999,0
grub-common,45,6153.2767676768,6440.2046854936,145.6398946176,39,-1.9701189607,0.039,999,1
grub-customizer,5,5703.6,6455.3275275275,981.8246257782,267,-0.7656433825,0.267,999,0
grub-pc,41,6035.856097561,6440.1139603018,178.5733227255,13,-2.2638200184,0.013,999,1
grub-pc-bin,41,6082.6975609756,6437.7652774726,182.5030121281,32,-1.9455444179,0.032,999,1
gsettings-desktop-schemas,47,6239.5652173913,6427.8289223544,134.4578938449,96,-1.4001684809,0.096,999,0
gsfonts,48,6304.2925531915,6433.7883832414,125.3128918159,155,-1.0333799514,0.155,999,0
gsfonts-x,13,6896.6666666667,6443.3066399733,524.6626791342,801,0.8640981048,0.801,999,0
gstreamer,51,6249.1858823529,6432.8219419419,96.5998164018,48,-1.9009980187,0.048,999,1
gtkam,4,7738,6388.6077744411,1112.4363075779,878,1.2130062785,0.878,999,0
gtkdialog,3,7682.6666666667,6568.7374040707,1329.0138021759,707,0.8381622981,0.707,999,0
gtk-engines,33,6670.5871212121,6435.4886818637,247.3495232442,834,0.9504705579,0.834,999,0
gtk-engines-murrine,32,5718.9717741936,6436.3786992638,246.0292385824,5,-2.915941736,0.005,999,1
gtk-engines-pixbuf,41,6310.156097561,6438.5398105423,172.6685862855,217,-0.7435267511,0.217,999,0
gufw,7,7245.1428571429,6456.7865961199,797.9946987603,829,0.987921677,0.829,999,0
guvcview,9,7281.5,6449.8374485597,675.0724279475,895,1.2319604786,0.895,999,0
gweled,4,6004,6350.0730730731,1168.382894435,440,-0.2961983394,0.44,999,0
gzip,54,6242.9098532495,6432.3995427993,67.5425843669,5,-2.8054847372,0.005,999,1
hardinfo,13,6601.4871794872,6428.6234439568,552.5067255446,603,0.3128717309,0.603,999,0
hdparm,48,6213.9929078014,6436.5061506542,122.8351966775,46,-1.8114778897,0.046,999,1
herbstluftwm,2,7066,6481.6746746747,1790.7811394607,665,0.3262963365,0.665,999,0
hexchat,6,7072.1333333333,6488.9420754087,866.3892900042,725,0.6731284247,0.725,999,0
hexchat-common,6,7072.1333333333,6413.6527193861,871.2332407933,760,0.7558029046,0.76,999,0
hicolor-icon-theme,52,6243.3288084465,6430.8752938459,89.2201038366,33,-2.1020653119,0.033,999,1
hostname,54,6242.9098532495,6434.0060220948,66.5532952462,11,-2.8713254263,0.011,999,1
hplip,33,6209.9128787879,6438.5521013438,245.9480199221,184,-0.9296241646,0.184,999,0
hplip-data,32,6261.2459677419,6442.1965110272,251.9597196231,226,-0.7181725061,0.226,999,0
htmltext,9,7615.3888888889,6448.5108441775,663.9000403008,974,1.7576110467,0.974,999,0
htop,15,7232.5904761905,6438.754373421,499.1399935635,947,1.5904077273,0.947,999,0
hwinfo,10,7475.2444444444,6426.4154376599,649.4057975864,955,1.6150595062,0.955,999,0
icedax,8,7435.3214285714,6481.982947233,732.6607914184,903,1.3012003542,0.903,999,0
iceweasel,13,7199.5641025641,6412.3979107312,555.145449282,932,1.4179458606,0.932,999,0
icewm,3,8323.3333333333,6496.980313647,1331.9852130668,957,1.3711511222,0.957,999,0
icewmcc-antix,1,NA,NA,NA,NA,NA,NA,999,NA
icewm-common,4,7710.5,6383.4244244244,1085.5046285162,898,1.2225425306,0.898,999,0
icewm-themes-antix,1,NA,NA,NA,NA,NA,NA,999,NA
ifplugd,3,6197.3333333333,6442.5792459126,1326.0985765736,509,-0.1849379201,0.509,999,0
ifupdown,54,6242.9098532495,6434.442901322,68.1586271932,10,-2.8101071861,0.01,999,1
init,23,5819.209486166,6442.9450399016,360.8481692308,57,-1.7285263081,0.057,999,0
initramfs-tools,54,6242.9098532495,6434.8138012226,67.3333518337,6,-2.8500578502,0.006,999,1
initscripts,54,6242.9098532495,6433.723739113,68.2281851331,6,-2.7967017662,0.006,999,1
init-system-helpers,37,5889.5375375375,6433.8204901598,205.0706981919,8,-2.6541234678,0.008,999,1
insserv,53,6187.1393323658,6432.1839415613,77.5823064413,4,-3.1585115271,0.004,999,1
install-meta-antix,1,NA,NA,NA,NA,NA,NA,999,NA
intltool-debian,32,6311.5907258065,6439.3991511673,247.2366280133,294,-0.5169477775,0.294,999,0
inxi-gui-antix,1,NA,NA,NA,NA,NA,NA,999,NA
iproute,55,6247.0491582492,6432.7736382848,54.202288859,8,-3.4265062222,0.008,999,1
iptables,50,6222.2416326531,6428.0745954117,107.685644514,35,-1.9114243471,0.035,999,1
iputils-ping,53,6261.9346879536,6431.7387924935,81.5379836678,28,-2.0825153738,0.028,999,1
irqbalance,32,5576.8629032258,6430.567682602,248.2430133835,2,-3.4389881421,0.002,999,1
irssi,6,7817.7333333333,6430.2628628629,873.1815883909,965,1.5889827373,0.965,999,0
irssi-plugin-otr,2,7066,6394.6276276276,1826.3854596366,685,0.3675962097,0.685,999,0
irssi-scripts,2,7066,6397.015015015,1793.6467014868,691.5,0.3729747806,0.6915,999,0
